Позиция;None;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч;Сход;Очки
1;None;None;Колин Теркингтон;None;None;12;23'36.287;None;None;90.55;None;23
2;None;None;Том Ингрэм;None;None;12;23'39.219;2.932;2.932;90.37;None;17
3;None;None;Рори Батчер;None;None;12;23'45.738;9.451;6.519;89.95;None;15
4;None;None;Стивен Джелли;None;None;12;23'50.247;13.960;4.509;89.67;None;13
5;None;None;Олли Джексон;None;None;12;23'53.208;16.921;2.961;89.48;None;11
6;None;None;Адам Морган;None;None;12;23'53.859;17.572;0.651;89.44;None;10
7;None;None;Даниэль Ллойд;None;None;12;23'54.336;18.049;0.477;89.41;None;9
8;None;None;Том Олифан;None;None;12;23'54.660;18.373;0.324;89.39;None;8
9;None;None;Джейк Хилл;None;None;12;23'58.238;21.951;3.578;89.17;None;7
10;None;None;Крис Смайли;None;None;12;23'58.870;22.583;0.632;89.13;None;6
11;None;None;Эшли Саттон;None;None;12;23'59.139;22.852;0.269;89.12;None;5
12;None;None;Джек Гофф;None;None;12;24'00.046;23.759;0.907;89.06;None;4
13;None;None;Daniel Rowbottom;None;None;12;24'01.280;24.993;1.234;88.98;None;3
14;None;None;Айден Моффат;None;None;12;24'01.702;25.415;0.422;88.96;None;2
15;None;None;Гордон Шедден;None;None;12;24'02.302;26.015;0.600;88.92;None;1
16;None;None;Джош Кук;None;None;12;24'04.023;27.736;1.721;88.81;None;None
17;None;None;Джейсон Плейто;None;None;12;24'04.950;28.663;0.927;88.76;None;None
18;None;None;Сенна Проктор;None;None;12;24'05.669;29.382;0.719;88.71;None;None
19;None;None;Sam Osborne;None;None;12;24'06.229;29.942;0.560;88.68;None;None
20;None;None;Carl Boardley;None;None;12;24'09.144;32.857;2.915;88.50;None;None
21;None;None;Том Чилтон;None;None;12;24'10.751;34.464;1.607;88.40;None;None
22;None;None;Арон Смит;None;None;12;24'11.645;35.358;0.894;88.35;None;None
23;None;None;Джессика Хокинс;None;None;12;24'14.648;38.361;3.003;88.17;None;None
24;None;None;Рик Парфитт-мл.;None;None;12;24'16.817;40.530;2.169;88.03;None;None
25;None;None;Jade Edwards;None;None;12;24'17.317;41.030;0.500;88.00;None;None
26;None;None;Jack Butel;None;None;12;24'18.061;41.774;0.744;87.96;None;None
27;None;None;Глинн Джедди;None;None;12;24'19.017;42.730;0.956;87.90;None;None
28;None;None;Николас Хэмилтон;None;None;12;24'19.517;43.230;0.500;87.87;None;None
29;None;None;Sam Smelt;None;None;12;24'35.021;58.734;15.504;86.95;None;None
