Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;12;Фабиан Култхард;None;Ford Falcon FG/X;1;1'21.3006;None;None;142.581
2;55;Час Мостер;None;Ford Falcon FG/X;1;1'21.3071;0.0065;0.0065;142.570
3;97;Шейн ван Гисберген;None;Holden Commodore VF;1;1'21.3190;0.0184;0.0119;142.549
4;33;Скотт Маклафлин;None;Volvo S60;1;1'21.4396;0.1390;0.1206;142.338
5;88;Джейми Уинкап;None;Holden Commodore VF;1;1'21.5218;0.2212;0.0822;142.195
6;15;Рик Келли;None;Nissan Altima L33;1;1'21.8616;0.5610;0.3398;141.604
7;1;Марк Винтерботтом;None;Ford Falcon FG/X;1;1'22.3891;1.0885;0.5275;140.698
8;17;Скотт Пай;None;Ford Falcon FG/X;1;1'22.5069;1.2063;0.1178;140.497
9;6;Кэмерон Уотерс;None;Ford Falcon FG/X;1;1'22.6300;1.3294;0.1231;140.288
10;22;Джеймс Кортни;None;Holden Commodore VF;0;None;None;None;None
