Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore VF;161;7:11'45.5456;None;None;None;300
2;None;2;Скотт Пай Уоррен Лафф;None;Holden Commodore VF;161;7:11'49.4451;3.8995;3.8995;None;276
3;None;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG/X;161;7:11'50.1369;4.5913;0.6918;None;258
4;None;99;Дейл Вуд Крис Питер;None;Holden Commodore VF;161;7:11'51.8905;6.3449;1.7536;None;240
5;None;97;Шейн ван Гисберген Мэтт Кэмпбелл;None;Holden Commodore VF;161;7:11'56.1716;10.6260;4.2811;None;222
6;None;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;161;7:11'59.2330;13.6874;3.0614;None;204
7;None;20;Тодд Келли Джек ЛеБрок;None;Nissan Altima;161;7:12'09.8460;24.3004;10.6130;None;192
8;None;56;Джейсон Брайт Гарри Джекобсон;None;Ford Falcon FG-X;161;7:12'13.7102;28.1646;3.8642;None;180
9;None;14;Тим Слейд Андре Хаймгартнер;None;Holden Commodore VF;161;7:12'15.1732;29.6276;1.4630;None;168
10;None;55;Час Мостер Steven Owen;None;Ford Falcon FG-X;161;7:12'44.8516;59.3060;29.6784;None;156
11;None;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore VF;160;7:12'14.4461;1 Lap;1 Lap;None;144
12;None;21;Тим Бланкард Тодд Хазелвуд;None;Holden Commodore VF;160;7:12'28.5312;1 Lap;14.0851;None;138
13;None;15;Рик Келли Дэвид Уолл;None;Nissan Altima;159;7:12'14.9930;2 Laps;1 Lap;None;132
14;None;19;Уилл Дэвисон Джонатон Уэбб;None;Holden Commodore VF;159;7:12'15.7572;2 Laps;0.7642;None;126
15;None;62;Алекс Рулло Алекс Дэвисон;None;Holden Commodore VF;159;7:12'29.6326;2 Laps;13.8754;None;120
16;None;6;Кэмерон Уотерс Ричи Стэнэвей;None;Ford Falcon FG-X;159;7:13'01.6251;2 Laps;31.9925;None;114
17;None;3;Аарен Рассел Таз Дуглас;None;Holden Commodore VF;154;7:12'53.0439;7 Laps;5 Laps;None;108
18;None;33;Гарт Тандер Джеймс Голдинг;None;Holden Commodore VF;152;7:13'20.1765;9 Laps;2 Laps;None;102
19;None;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore VF;147;7:12'30.3797;14 Laps;5 Laps;None;96
20;None;88;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore VF;124;7:13'27.8542;37 Laps;23 Laps;None;90
None;None;8;Ник Перкат Маколи Джонс;None;Holden Commodore VF;160;7:10'54.4454;1 Lap;None;Сход;None
None;None;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG-X;159;7:07'38.7874;2 Laps;1 Lap;Сход;None
None;None;78;Симона де Сильвестро Дэвид Расселл;None;Nissan Altima;152;6:47'49.2813;9 Laps;7 Laps;Сход;None
None;None;34;Джеймс Моффат Ричард Маскат;None;Holden Commodore VF;141;6:18'31.3133;20 Laps;11 Laps;Сход;None
None;None;18;Ли Холдсуорт Карл Райндлер;None;Holden Commodore VF;76;3:25'41.3781;85 Laps;65 Laps;Сход;None
None;None;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG-X;74;3:19'46.6816;87 Laps;2 Laps;Сход;None
