Номер;Гонщик;None;Команда;Машина;Мотор;Шины
1;Джейми Уинкап;None;Triple Eight Race Engineering;Holden Commodore ZB;Holden V8-5;Dunlop
2;Скотт Пай;None;Mobil 1 Boost Mobile Racing;Holden Commodore ZB;Holden V8-5;Dunlop
5;Марк Винтерботтом;None;Tickford Racing;Ford Falcon FG X;Ford V8-5;Dunlop
7;Андре Хаймгартнер;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
8;Ник Перкат;None;Blackwoods Racing;Holden Commodore ZB;Holden V8-5;Dunlop
9;Дэвид Рейнольдс;None;Erebus Motorsport;Holden Commodore ZB;Holden V8-5;Dunlop
12;Фабиан Култхард;None;DJR Team Penske;Ford Falcon FG X;Ford V8-5;Dunlop
14;Тим Слейд;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
15;Рик Келли;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
17;Скотт Маклафлин;None;DJR Team Penske;Ford Falcon FG X;Ford V8-5;Dunlop
18;Ли Холдсуорт;None;Team 18;Holden Commodore ZB;Holden V8-5;Dunlop
19;Джек ЛеБрок;None;Tekno Autosports;Holden Commodore ZB;Holden V8-5;Dunlop
21;Тим Бланкард;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
23;Майкл Карузо;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
25;Джеймс Кортни;None;Mobil 1 Boost Mobile Racing;Holden Commodore ZB;Holden V8-5;Dunlop
33;Гарт Тандер;None;Garry Rogers Motorsport;Holden Commodore ZB;Holden V8-5;Dunlop
34;Джеймс Голдинг;None;Garry Rogers Motorsport;Holden Commodore ZB;Holden V8-5;Dunlop
35;Тодд Хазелвуд;None;Bigmate Racing;Ford Falcon FG X;Ford V8-5;Dunlop
55;Час Мостер;None;Tickford Racing;Ford Falcon FG X;Ford V8-5;Dunlop
56;Ричи Стэнэвей;None;Tickford Racing;Ford Falcon FG X;Ford V8-5;Dunlop
78;Симона де Сильвестро;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
97;Шейн ван Гисберген;None;Triple Eight Race Engineering;Holden Commodore ZB;Holden V8-5;Dunlop
99;Антон де Паскуале;None;Erebus Motorsport Penrite;Holden Commodore ZB;Holden V8-5;Dunlop
100;Кэмерон Уотерс;None;Tickford Racing;Ford Falcon FG X;Ford V8-5;Dunlop
230;Уилл Дэвисон;None;Milwaukee Racing;Ford Falcon FG X;Ford V8-5;Dunlop
888;Крэг Лаундес;None;Autobarn Lowndes Racing;Holden Commodore ZB;Holden V8-5;Dunlop
