Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;1'47.8280;165.263
2;25;Час Мостер;None;Holden Commodore ZB;1'47.9494;165.077
3;88;Джейми Уинкап;None;Holden Commodore ZB;1'47.9525;165.072
4;12;Фабиан Култхард;None;Ford Mustang GT;1'48.0968;164.852
5;8;Ник Перкат;None;Holden Commodore ZB;1'48.2929;164.553
6;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'48.3475;164.470
7;6;Кэмерон Уотерс;None;Ford Mustang GT;1'48.4049;164.383
8;7;Андре Хаймгартнер;None;Ford Mustang GT;1'48.4454;164.322
9;20;Скотт Пай;None;Holden Commodore ZB;1'48.5895;164.104
10;3;Маколи Джонс;None;Holden Commodore ZB;1'48.7018;163.934
11;55;Джек ЛеБрок;None;Ford Mustang GT;1'48.7079;163.925
12;18;Марк Винтерботтом;None;Holden Commodore ZB;1'48.7395;163.877
13;44;Джеймс Кортни;None;Ford Mustang GT;1'48.7686;163.834
14;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'48.8280;163.744
15;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'48.8297;163.742
16;5;Ли Холдсуорт;None;Ford Mustang GT;1'48.8334;163.736
17;15;Рик Келли;None;Ford Mustang GT;1'48.9389;163.577
18;99;Антон де Паскуале;None;Holden Commodore ZB;1'49.0741;163.375
19;19;Алекс Дэвисон;None;Holden Commodore ZB;1'49.0809;163.364
20;4;Джек Смит;None;Holden Commodore ZB;1'49.2464;163.117
21;34;Зейн Годдард;None;Holden Commodore ZB;1'49.3154;163.014
22;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'49.3533;162.958
23;22;Крис Питер;None;Holden Commodore ZB;1'49.5033;162.734
24;35;Гарри Джекобсон;None;Holden Commodore ZB;1'49.5160;162.715
